customer id,recording date,total bandwidth used,rolling three-month average,aggregated two-year rolling three month average
1b589822-d45b-4bb6-97c1-b39789b508cb,11/17/22,0.026,2.969,71.929
1b589822-d45b-4bb6-97c1-b39789b508cb,10/17/22,4.424,3.062,
1b589822-d45b-4bb6-97c1-b39789b508cb,9/17/22,4.456,2.925,
1b589822-d45b-4bb6-97c1-b39789b508cb,8/17/22,0.305,1.697,
1b589822-d45b-4bb6-97c1-b39789b508cb,7/17/22,4.012,3.058,
1b589822-d45b-4bb6-97c1-b39789b508cb,6/17/22,0.773,3.175,
1b589822-d45b-4bb6-97c1-b39789b508cb,5/17/22,4.388,3.248,
1b589822-d45b-4bb6-97c1-b39789b508cb,4/17/22,4.365,2.318,
1b589822-d45b-4bb6-97c1-b39789b508cb,3/17/22,0.992,1.803,
1b589822-d45b-4bb6-97c1-b39789b508cb,2/17/22,1.597,2.841,
1b589822-d45b-4bb6-97c1-b39789b508cb,1/17/22,2.820,2.930,
1b589822-d45b-4bb6-97c1-b39789b508cb,12/17/21,4.106,3.064,
1b589822-d45b-4bb6-97c1-b39789b508cb,11/17/21,1.863,2.398,
1b589822-d45b-4bb6-97c1-b39789b508cb,10/17/21,3.224,3.303,
1b589822-d45b-4bb6-97c1-b39789b508cb,9/17/21,2.109,3.714,
1b589822-d45b-4bb6-97c1-b39789b508cb,8/17/21,4.577,4.603,
1b589822-d45b-4bb6-97c1-b39789b508cb,7/17/21,4.458,3.779,
1b589822-d45b-4bb6-97c1-b39789b508cb,6/17/21,4.774,3.419,
1b589822-d45b-4bb6-97c1-b39789b508cb,5/17/21,2.104,2.850,
1b589822-d45b-4bb6-97c1-b39789b508cb,4/17/21,3.378,3.358,
1b589822-d45b-4bb6-97c1-b39789b508cb,3/17/21,3.068,3.610,
1b589822-d45b-4bb6-97c1-b39789b508cb,2/17/21,3.627,3.259,
1b589822-d45b-4bb6-97c1-b39789b508cb,1/17/21,4.133,2.155,
1b589822-d45b-4bb6-97c1-b39789b508cb,12/17/20,2.016,2.394,
1b589822-d45b-4bb6-97c1-b39789b508cb,11/17/20,0.315,1.819,
1b589822-d45b-4bb6-97c1-b39789b508cb,10/17/20,4.852,1.787,
1b589822-d45b-4bb6-97c1-b39789b508cb,9/17/20,0.289,0.833,
1b589822-d45b-4bb6-97c1-b39789b508cb,8/17/20,0.219,2.381,
1b589822-d45b-4bb6-97c1-b39789b508cb,7/17/20,1.989,2.693,
1b589822-d45b-4bb6-97c1-b39789b508cb,6/17/20,4.935,2.113,
1b589822-d45b-4bb6-97c1-b39789b508cb,5/17/20,1.156,1.482,
1b589822-d45b-4bb6-97c1-b39789b508cb,4/17/20,0.248,1.590,
1b589822-d45b-4bb6-97c1-b39789b508cb,3/17/20,3.042,2.362,
1b589822-d45b-4bb6-97c1-b39789b508cb,2/17/20,1.481,2.452,
1b589822-d45b-4bb6-97c1-b39789b508cb,1/17/20,2.561,,
1b589822-d45b-4bb6-97c1-b39789b508cb,12/17/19,3.315,,
89069843-ed22-444f-97dd-67ad91918571,11/17/22,3.599,3.144,61.370
89069843-ed22-444f-97dd-67ad91918571,10/17/22,4.293,3.393,
89069843-ed22-444f-97dd-67ad91918571,9/17/22,1.539,2.846,
89069843-ed22-444f-97dd-67ad91918571,8/17/22,4.347,2.466,
89069843-ed22-444f-97dd-67ad91918571,7/17/22,2.654,1.766,
89069843-ed22-444f-97dd-67ad91918571,6/17/22,0.397,2.307,
89069843-ed22-444f-97dd-67ad91918571,5/17/22,2.247,2.568,
89069843-ed22-444f-97dd-67ad91918571,4/17/22,4.276,2.290,
89069843-ed22-444f-97dd-67ad91918571,3/17/22,1.182,0.958,
89069843-ed22-444f-97dd-67ad91918571,2/17/22,1.411,1.880,
89069843-ed22-444f-97dd-67ad91918571,1/17/22,0.281,1.823,
89069843-ed22-444f-97dd-67ad91918571,12/17/21,3.948,3.096,
89069843-ed22-444f-97dd-67ad91918571,11/17/21,1.242,2.349,
89069843-ed22-444f-97dd-67ad91918571,10/17/21,4.099,2.600,
89069843-ed22-444f-97dd-67ad91918571,9/17/21,1.707,2.347,
89069843-ed22-444f-97dd-67ad91918571,8/17/21,1.996,3.235,
89069843-ed22-444f-97dd-67ad91918571,7/17/21,3.339,3.228,
89069843-ed22-444f-97dd-67ad91918571,6/17/21,4.371,3.244,
89069843-ed22-444f-97dd-67ad91918571,5/17/21,1.975,2.405,
89069843-ed22-444f-97dd-67ad91918571,4/17/21,3.387,2.397,
89069843-ed22-444f-97dd-67ad91918571,3/17/21,1.853,2.216,
89069843-ed22-444f-97dd-67ad91918571,2/17/21,1.952,3.235,
89069843-ed22-444f-97dd-67ad91918571,1/17/21,2.844,2.850,
89069843-ed22-444f-97dd-67ad91918571,12/17/20,4.908,2.725,
89069843-ed22-444f-97dd-67ad91918571,11/17/20,0.799,2.225,
89069843-ed22-444f-97dd-67ad91918571,10/17/20,2.468,3.119,
89069843-ed22-444f-97dd-67ad91918571,9/17/20,3.408,2.921,
89069843-ed22-444f-97dd-67ad91918571,8/17/20,3.483,2.594,
89069843-ed22-444f-97dd-67ad91918571,7/17/20,1.874,2.310,
89069843-ed22-444f-97dd-67ad91918571,6/17/20,2.425,2.180,
89069843-ed22-444f-97dd-67ad91918571,5/17/20,2.632,1.753,
89069843-ed22-444f-97dd-67ad91918571,4/17/20,1.484,1.484,
89069843-ed22-444f-97dd-67ad91918571,3/17/20,1.144,1.545,
89069843-ed22-444f-97dd-67ad91918571,2/17/20,1.823,2.168,
89069843-ed22-444f-97dd-67ad91918571,1/17/20,1.668,,
89069843-ed22-444f-97dd-67ad91918571,12/17/19,3.013,,
a271721b-d1c0-478c-877e-378919697ed1,11/17/22,2.311,2.096,65.249
a271721b-d1c0-478c-877e-378919697ed1,10/17/22,2.981,2.893,
a271721b-d1c0-478c-877e-378919697ed1,9/17/22,0.995,2.786,
a271721b-d1c0-478c-877e-378919697ed1,8/17/22,4.703,3.281,
a271721b-d1c0-478c-877e-378919697ed1,7/17/22,2.661,2.911,
a271721b-d1c0-478c-877e-378919697ed1,6/17/22,2.479,2.944,
a271721b-d1c0-478c-877e-378919697ed1,5/17/22,3.594,3.333,
a271721b-d1c0-478c-877e-378919697ed1,4/17/22,2.760,3.397,
a271721b-d1c0-478c-877e-378919697ed1,3/17/22,3.646,3.853,
a271721b-d1c0-478c-877e-378919697ed1,2/17/22,3.786,3.723,
a271721b-d1c0-478c-877e-378919697ed1,1/17/22,4.127,2.525,
a271721b-d1c0-478c-877e-378919697ed1,12/17/21,3.257,1.741,
a271721b-d1c0-478c-877e-378919697ed1,11/17/21,0.190,2.204,
a271721b-d1c0-478c-877e-378919697ed1,10/17/21,1.775,2.273,
a271721b-d1c0-478c-877e-378919697ed1,9/17/21,4.646,2.100,
a271721b-d1c0-478c-877e-378919697ed1,8/17/21,0.398,1.235,
a271721b-d1c0-478c-877e-378919697ed1,7/17/21,1.256,1.649,
a271721b-d1c0-478c-877e-378919697ed1,6/17/21,2.050,2.281,
a271721b-d1c0-478c-877e-378919697ed1,5/17/21,1.641,2.408,
a271721b-d1c0-478c-877e-378919697ed1,4/17/21,3.151,3.104,
a271721b-d1c0-478c-877e-378919697ed1,3/17/21,2.431,2.851,
a271721b-d1c0-478c-877e-378919697ed1,2/17/21,3.732,3.157,
a271721b-d1c0-478c-877e-378919697ed1,1/17/21,2.392,3.149,
a271721b-d1c0-478c-877e-378919697ed1,12/17/20,3.349,3.353,
a271721b-d1c0-478c-877e-378919697ed1,11/17/20,3.705,2.974,
a271721b-d1c0-478c-877e-378919697ed1,10/17/20,3.005,3.321,
a271721b-d1c0-478c-877e-378919697ed1,9/17/20,2.212,2.588,
a271721b-d1c0-478c-877e-378919697ed1,8/17/20,4.747,3.195,
a271721b-d1c0-478c-877e-378919697ed1,7/17/20,0.806,1.656,
a271721b-d1c0-478c-877e-378919697ed1,6/17/20,4.032,2.027,
a271721b-d1c0-478c-877e-378919697ed1,5/17/20,0.131,1.768,
a271721b-d1c0-478c-877e-378919697ed1,4/17/20,1.918,3.046,
a271721b-d1c0-478c-877e-378919697ed1,3/17/20,3.255,2.939,
a271721b-d1c0-478c-877e-378919697ed1,2/17/20,3.964,2.677,
a271721b-d1c0-478c-877e-378919697ed1,1/17/20,1.598,,
a271721b-d1c0-478c-877e-378919697ed1,12/17/19,2.470,,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,11/17/22,1.486,1.760,71.972
d22ea804-cd59-4b15-84f1-2f723a9a99b5,10/17/22,3.300,2.855,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,9/17/22,0.493,2.251,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,8/17/22,4.772,3.093,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,7/17/22,1.487,1.918,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,6/17/22,3.021,2.888,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,5/17/22,1.247,3.109,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,4/17/22,4.397,3.101,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,3/17/22,3.683,3.286,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,2/17/22,1.223,2.173,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,1/17/22,4.953,3.205,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,12/17/21,0.342,2.537,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,11/17/21,4.319,3.673,
